Type;;20-Pin Female;12-Pin Female;12-Pin Male;8-Pin Female;8-Pin Male;4-Pin Female;4-Pin Male;2-Pin Female;2-Pin Male;Cavity Plug;Female AWG20;Female AWG16;Male AWG16/20
PartNo;;33472-2001;33472-1201;33482-6201;33472-4801;33482-4801;33472-4001;33482-4001;33471-0201;33481-0201;34345-0001;33012-2002;33012-3001;33000-0002
Count;;2;1;1;3;2;3;3;6;6;17;62;25;48
;;;;;;;;;;;;;;
Connector;Size;;;;;;;;;;;;;
FRONT;20;1;;;;;;;;;4;7;9;
CENTER;20;1;;;;;;;;;5;12;3;
REAR;8;;;;1;;;;;;;6;2;
FAN;2;;;;;;;;;1;;;;2
FAN (Loose);2;;;;;;;;1;;;;2;
FFUEL;2;;;;;;;;;1;;;;2
FFUEL (Loose);2;;;;;;;;1;;;;2;
ENGINE;8;;;;;1;;;;;1;3;4;
ENGINE (Loose);8;;;;1;;;;;;1;;;7
FLIGHT;4;;;;;;;1;;;;;;4
FLIGHT (Loose);4;;;;;;1;;;;;4;;
STARTER;2;;;;;;;;;1;;;;2
STARTER (Loose);2;;;;;;;;1;;;2;;
BRAKE;2;;;;;;;;;1;;;;2
BRAKE (Loose);2;;;;;;;;1;;;2;;
FLIGHT;4;;;;;;;1;;;;;;4
FLIGHT (Loose);4;;;;;;1;;;;;4;;
INST;12;;;1;;;;;;;2;;;10
INST (Loose);12;;1;;;;;;;;2;10;;
TRAN;2;;;;;;;;;1;;;;2
TRAN (Loose);2;;;;;;;;1;;;2;;
DASH;4;;;;;;;1;;;;;;4
DASH (loose);4;;;;;;1;;;;;3;1;
RLIGHT;8;;;;;1;;;;;1;;;7
RLIGHT (Loose);8;;;;1;;;;;;1;7;;
RFUEL;2;;;;;;;;;1;;;;2
RFUEL (Loose);2;;;;;;;;1;;;;2;
